business,contact_name,title,phones,email,city,state,website,source,note
Renaissance Farm,,,(919) 333-9222,cbblink@yahoo.com,Bloomington,Indiana,,https://www.facebook.com/molinardfarms/,firecrawl
Rollen’s RAW Grains,,,(843) 784-3888,mchalmers888@gmail.com,Hardeeville,South Carolina,,https://www.facebook.com/rollensrawgrains/,firecrawl
Royal Queens Farm,,,(717) 394-3047,grow@royalqueenfarms.com,,Louisiana,,https://www.lancasterfarming.com/farming-news/news/rafi-awards-75-000-in-stipends-to-underserved-beginning-farmers/article_9549d9a2-5f1d-11ef-ab6b-470914e69d0c.html,firecrawl
Smith Farm and Ranch,,,(918) 422-4455,sfar.eden@gmail.com,Tuskegee,Alabama,,https://www.smithfarmandranchequipment.com/,firecrawl
Taylor Stevenson Ranch,,,(346) 330-1144,major@taylorstevensonranch.com,Houston,Texas,,https://www.facebook.com/taylorstevensonranch/,firecrawl
We the People Opportunity Farm,Melvin Parson,Executive Director,(734) 757-5067,melvinp@wtpof.org,Ypsilanti,Michigan,http://www.wtpof.org,,apollo
Zizis Bee Company,,,(334) 649-9406,zizisbeecompany@yahoo.com,Montgomery,Alabama,,https://www.facebook.com/zizisbeecompany/,firecrawl
EXAU,Skylar Mapes,,,info@exauoliveoil.com,,,http://www.exauoliveoil.com,,apollo
Long Walk Spring Farm,,,,howdy@longwalkspring.com,New Boston,Texas,,,NOT FOUND - manual lookup needed
Perma-Pastures Farm,,,,permapasturesfarm@gmail.com,Mars Hill,North Carolina,,,NOT FOUND - manual lookup needed
Petit Jardin by Erica Sage,,,,its.petit.jardin@gmail.com,New Orleans,Louisiana,,,NOT FOUND - manual lookup needed
We Sow We Grow,,,,info@wesowwegrow.org,Chicago,Illinois,http://www.wesowwegrow.org,,apollo
